code,state,latitude,longitude
35,ANDAMAN & NICOBAR ISLAND,11.7401,92.6586
28,ANDHRA PRADESH,15.9129,79.74
12,ARUNACHAL PRADESH,28.218,94.7278
18,ASSAM,26.2006,92.9376
10,BIHAR,25.0961,85.3131
4,CHANDIGARH,30.7333,76.7794
22,CHHATTISGARH,21.2787,81.8661
7,NCT OF DELHI,28.7041,77.1025
30,GOA,15.2993,74.124
24,GUJARAT,22.2587,71.1924
6,HARYANA,29.0588,76.0856
2,HIMACHAL PRADESH,31.1048,77.1734
1,JAMMU & KASHMIR,33.7782,76.5762
20,JHARKHAND,23.6102,85.2799
29,KARNATAKA,15.3173,75.7139
32,KERALA,10.8505,76.2711
23,MADHYA PRADESH,22.9734,78.6569
27,MAHARASHTRA,19.7515,75.7139
15,MIZORAM,23.1645,92.9376
14,MANIPUR,24.6637,93.9063
17,MEGHALAYA,25.467,91.3662
13,NAGALAND,26.1584,94.5624
21,ODISHA,20.9517,85.0985
34,PUDUCHERRY,11.9416,79.8083
3,PUNJAB,31.1471,75.3412
8,RAJASTHAN,27.0238,74.2179
11,SIKKIM,27.533,88.5122
33,TAMIL NADU,11.1271,78.6569
16,TRIPURA,23.9408,91.9882
9,UTTAR PRADESH,26.8467,80.9462
5,UTTARAKHAND,30.0668,79.0193
19,WEST BENGAL,22.9868,87.855
26,DADRA & NAGAR HAVELI,20.1809,73.0169
25,DAMAN & DIU,20.4283,72.8397
31,LAKSHADWEEP,10.5667,72.6417
