code,Territory,Person,Male,Female,sexratio-2001,sexratio-2011
0,India,1210569573,623121843,587447730,933,943
1,Jammu & Kashmir,12541302,6640662,5900640,892,889
2,Himachal Pradesh,6864602,3481873,3382729,968,972
3,Panjab,27743338,14639465,13103873,876,895
5,Uttarkand,10086292,5137773,4948519,962,963
6,Harayana,25351462,13494734,11856728,861,879
8,Rajasthan,68548437,35550997,32997440,921,928
9,Uttar Pradesh,199812341,104480510,95331831,898,912
10,Bihar,104099452,54278157,49821295,919,918
11,Sikkim,610577,323070,287507,875,890
12,Arunachal Pradesh,1383727,713912,669815,893,938
13,Nagaland,1978502,1024649,953853,,931
14,Manipur,2570390,1290171,1280219,978,992
15,Mizoram,1097206,555339,541867,935,976
16,Tripura,3673917,1874376,1799541,948,960
17,Meghalaya,2966889,1491832,1475057,972,989
18,Assam,31205576,15939443,15266133,935,958
19,West Bengal,91276115,46809027,44467088,934,950
20,Jharkand,32988134,16930315,16057819,941,948
21,Odisha,41974218,21212136,20762082,972,979
22,Chattisgarh,25545198,12832895,12712303,989,991
23,Madhya Pradesh,72626809,37612306,35014503,919,931
24,Gujarat,60439692,31491260,28948432,920,919
27,Maharastra,112374333,58243056,54131277,922,929
28,Andra Pradesh,84580777,42442146,42138631,978,993
29,Karanataka,61095297,30966657,30128640,965,973
30,Goa,1458545,739140,719405,961,973
32,Kerala,33406061,16027412,17378649,1059,1084
33,Tamilnadu,72147030,36137975,36009055,987,996
4,Chandigarh,1055450,580663,474787,777,818
7,NCT of Delhi,16787941,8987326,7800615,821,868
25,Daman & Diu,243247,150301,92946,710,618
26,Dadar & Nagar Haveli,34709,193760,149949,812,774
31,Lakshdeep,64473,33123,31350,948,946
34,Pudducherry,1247953,612511,635442,1001,1037
35,A&N Islands,380581,202871,177710,846,876
